seed,family,depth,n_hot,p_cold,duty_spread,mean_duty,contested,n_2q,cut,f_2xSC,f_2xNA,f_SCNA,mk_2xSC,mk_2xNA,mk_SCNA,comm_2xSC,comm_2xNA,comm_SCNA,part_2xSC,part_2xNA,part_SCNA,best_homo,f_best_homo,mk_best_homo,rel_gain_pct,mk_ratio,mk_dominated,pareto_win,winner,liveness,idle_rate
79,hotcore,20,3,0.076,0.3206,0.3194,0,20,4,0.768169,0.782014,0.802901,4900.0,17000.0,6700.0,4,4,4,0|1|2|7,0|1|2|7,0|1|2|7,2xNA,0.782014,17000.0,9.582,0.3941,0,1,SC+NA,0.368750,0.631250
80,hotcore,20,4,0.113,0.2893,0.3069,0,22,1,0.862577,0.837047,0.899423,4900.0,18000.0,5120.0,1,1,1,0|1|6|7,0|1|6|7,2|3|4|5,2xSC,0.862577,4900.0,26.812,1.0449,1,0,SC+NA,0.456250,0.543750
81,hotcore,20,4,0.096,0.2847,0.3312,0,24,4,0.726065,0.749461,0.772844,5460.0,16500.0,7840.0,4,4,4,0|1|6|7,0|1|6|7,0|1|6|7,2xNA,0.749461,16500.0,9.333,0.4752,0,1,SC+NA,0.462500,0.537500
82,hotcore,20,3,0.103,0.2763,0.2778,0,17,2,0.803285,0.831969,0.830577,4840.0,16000.0,6920.0,2,2,2,0|1|3|4,0|1|3|4,2|5|6|7,2xNA,0.831969,16000.0,-0.829,0.4325,0,0,2xNA,0.337500,0.662500
83,hotcore,20,4,0.173,0.2374,0.3809,0,28,9,0.618971,0.627825,0.61872,5240.0,18000.0,10620.0,9,9,9,0|1|5|7,0|1|5|7,0|1|5|7,2xNA,0.627825,18000.0,-2.446,0.59,0,0,2xNA,0.487500,0.512500
84,hotcore,20,3,0.184,0.3067,0.3266,0,24,4,0.750006,0.772494,0.796869,5860.0,19000.0,7660.0,4,4,5,0|2|3|4,0|2|3|4,0|1|5|6,2xNA,0.772494,19000.0,10.714,0.4032,0,1,SC+NA,0.418750,0.581250
85,hotcore,20,3,0.127,0.3282,0.3757,0,25,7,0.702547,0.71032,0.725018,5040.0,18000.0,8060.0,7,7,7,0|2|3|7,0|4|5|6,0|2|3|7,2xNA,0.71032,18000.0,5.074,0.4478,0,1,SC+NA,0.437500,0.562500
86,hotcore,20,4,0.016,0.2961,0.3109,0,22,1,0.802937,0.825755,0.879696,5480.0,17000.0,6100.0,1,1,1,0|4|6|7,0|4|6|7,0|4|6|7,2xNA,0.825755,17000.0,30.957,0.3588,0,1,SC+NA,0.493750,0.506250
87,hotcore,20,5,0.046,0.2662,0.3125,1,21,5,0.743706,0.752526,0.758863,4700.0,17500.0,10400.0,5,5,5,0|1|3|7,0|1|3|7,2|4|5|6,2xNA,0.752526,17500.0,2.561,0.5943,0,1,SC+NA,0.481250,0.518750
88,hotcore,20,5,0.046,0.2595,0.3671,1,26,9,0.6194,0.644901,0.623631,5700.0,17000.0,11640.0,9,9,9,0|2|4|7,0|2|4|7,0|2|4|7,2xNA,0.644901,17000.0,-5.99,0.6847,0,0,2xNA,0.581250,0.418750
89,hotcore,20,3,0.125,0.311,0.2655,0,14,0,0.926871,0.902516,0.958799,2660.0,14500.0,2660.0,0,0,0,0|5|6|7,0|5|6|7,0|5|6|7,2xSC,0.926871,2660.0,43.66,1.0,0,1,SC+NA,0.350000,0.650000
90,hotcore,20,5,0.028,0.2457,0.3503,1,24,7,0.67253,0.687368,0.671368,5040.0,16500.0,11920.0,7,7,7,0|1|4|7,0|1|4|7,2|3|5|6,2xNA,0.687368,16500.0,-5.118,0.7224,0,0,2xNA,0.487500,0.512500
91,hotcore,20,3,0.043,0.2953,0.2559,0,12,0,0.906669,0.916477,0.939252,3920.0,13500.0,3920.0,0,0,0,0|1|2|4,0|1|2|4,3|5|6|7,2xNA,0.916477,13500.0,27.269,0.2904,0,1,SC+NA,0.275000,0.725000
92,hotcore,20,5,0.117,0.2835,0.3874,1,28,9,0.648172,0.644599,0.623835,5620.0,18500.0,11120.0,9,9,9,0|3|4|5,0|1|3|5,0|3|4|5,2xSC,0.648172,5620.0,-6.917,1.9786,0,0,2xSC,0.550000,0.450000
